"S","LPE","NP","ANH","TIC","Newborn"
0.93,0.74,3,214,3,0
0.49,0.59,4,230,3,0
0.61,0.57,4,178,4,0
0.53,0.94,4,206,2,0
0.52,0.72,3,231,2,0
0.49,0.93,3,260,2,0
0.61,0.94,3,179,3,0
0.37,0.83,4,160,3,0
0.53,0.48,4,137,3,0
0.66,0.89,3,258,3,0
0.87,0.65,3,265,3,0
0.5,0.8,3,232,3,0
0.71,0.9,3,245,2,0
1,0.71,3,189,2,1
0.55,0.55,3,262,3,0
0.76,0.58,3,195,4,0
0.54,0.5,2,159,2,0
0.6,0.93,4,222,3,0
0.71,0.55,4,142,2,0
0.7,0.8,4,232,4,0
0.93,0.99,3,159,2,0
0.97,0.68,5,158,2,0
0.91,0.94,5,256,4,0
0.63,0.44,4,183,4,0
0.93,0.76,4,272,2,0
0.65,0.91,4,172,3,0
0.79,0.93,6,212,3,0
0.83,0.94,3,177,3,0
0.6,0.98,5,185,2,0
0.88,0.55,4,262,2,0
0.56,0.68,3,178,2,0
0.55,0.77,4,194,3,0
0.21,0.62,5,266,5,0
0.89,0.69,3,190,2,0
0.87,0.85,3,236,2,0
0.99,0.72,2,150,4,0
0.57,0.74,4,203,3,1
0.24,0.61,3,240,3,1
0.83,0.8,3,260,2,0
0.99,0.61,2,135,4,0
0.2,0.54,5,190,4,0
0.71,0.66,4,195,2,0
0.66,0.54,3,147,4,1
0.15,0.54,4,170,5,0
0.22,0.75,3,255,3,0
0.53,0.99,5,261,3,0
0.55,0.79,4,255,3,0
0.9,0.57,5,136,3,0
0.79,0.71,4,255,2,0
0.24,0.76,3,265,3,0
0.86,0.84,4,263,4,0
0.55,0.68,3,197,3,0
0.57,0.6,3,244,3,0
0.75,0.71,4,159,4,1
0.92,0.4,5,214,6,0
0.9,0.86,3,138,3,0
0.58,0.8,5,265,3,0
0.51,0.84,4,164,3,0
0.74,0.64,4,174,2,0
0.98,0.86,5,231,3,0
0.51,0.97,3,246,2,0
0.98,0.83,3,213,3,0
0.75,0.49,3,244,2,0
0.94,0.52,4,207,3,0
0.62,0.9,3,246,6,1
0.74,0.95,3,190,2,1
0.28,0.53,2,161,6,0
0.81,0.53,5,155,2,0
0.54,0.95,3,140,3,0
0.7,0.59,5,274,2,0
0.85,0.5,6,124,3,0
0.48,0.73,4,171,3,0
0.95,0.38,6,122,2,1
0.48,0.79,5,226,2,0
0.52,0.76,4,202,2,0
0.92,0.95,5,237,3,0
0.23,0.49,6,192,6,0
0.85,0.55,5,254,3,1
0.31,0.62,3,227,6,0
0.91,0.41,2,226,4,0
0.44,0.48,3,159,2,1
0.67,0.8,3,176,2,0
0.61,0.94,3,198,2,0
0.52,0.97,3,227,2,0
0.88,0.64,3,226,3,0
0.84,0.6,4,228,2,0
0.45,0.75,5,188,3,1
0.71,0.89,3,243,2,0
0.27,0.9,2,246,6,0
0.93,0.7,4,224,2,0
0.52,0.76,4,171,2,1
0.85,0.82,3,173,2,0
0.49,0.84,3,160,3,0
0.77,0.83,3,257,4,0
0.77,0.42,3,235,3,0
0.88,0.75,2,263,4,0
0.52,0.86,3,258,3,0
0.9,0.71,2,217,4,0
0.5,0.71,3,257,2,0
0.62,0.98,5,157,4,0
0.77,0.79,3,144,6,0
0.84,0.85,3,248,2,0
0.8,0.72,3,155,3,0
0.14,0.55,3,140,6,0
0.93,0.48,3,165,3,1
0.96,0.62,5,206,3,0
0.85,0.77,3,179,2,0
0.51,0.67,2,250,2,0
0.43,0.43,2,161,3,1
0.58,0.61,3,171,3,0
0.7,0.4,4,216,4,0
0.74,0.63,3,199,2,0
0.56,0.74,4,137,3,0
0.79,0.54,5,261,4,0
0.64,0.83,4,153,4,0
0.93,0.88,4,224,3,0
0.99,0.92,4,256,3,0
0.9,0.54,3,157,3,0
0.37,0.52,3,129,3,1
0.4,0.69,4,137,4,0
0.77,0.73,3,268,3,0
0.77,0.53,4,216,3,1
0.18,0.42,3,105,4,1
0.99,0.52,3,250,4,0
0.25,0.89,3,232,5,0
0.53,0.94,5,161,3,0
0.55,0.55,5,170,4,1
0.14,0.69,6,281,5,0
0.89,0.86,4,223,4,0
0.63,0.5,4,145,2,0
0.86,0.99,4,223,2,0
0.6,0.95,3,211,5,0
0.71,0.8,5,239,2,0
0.52,0.43,3,155,3,0
0.66,0.84,5,147,2,1
0.52,0.95,4,234,3,0
0.74,0.67,4,201,2,0
0.99,0.85,5,197,2,0
0.51,0.72,5,220,3,0
0.38,0.61,3,101,3,0
0.49,0.83,2,218,4,0
0.83,0.43,3,244,4,0
0.94,0.68,4,170,2,0
0.66,0.87,4,224,2,1
0.5,0.52,3,222,2,0
0.9,0.73,3,202,3,0
0.78,0.8,5,251,2,0
0.68,0.86,4,240,2,1
0.6,0.91,3,184,3,1
0.4,0.63,4,102,3,0
0.57,0.72,4,202,2,0
0.66,0.77,4,158,2,0
0.93,0.55,4,262,4,0
0.39,0.37,4,149,4,0
0.5,0.49,4,270,3,0
0.3,0.65,3,135,3,0
0.85,0.73,3,243,2,0
0.83,0.98,4,158,3,0
0.62,0.74,3,210,3,0
0.83,0.94,4,135,3,0
0.99,0.71,4,146,2,0
0.52,0.39,5,222,5,1
0.49,0.51,3,136,3,0
0.99,1,5,254,2,0
0.2,0.89,6,277,3,0
0.53,1,4,192,2,0
0.52,0.4,2,198,4,0
0.55,0.55,4,224,2,0
0.97,0.9,3,182,3,0
0.65,0.57,3,265,4,0
0.95,0.69,3,261,3,0
0.81,0.71,5,217,2,0
0.85,0.94,4,227,3,0
1,0.67,4,200,4,1
0.23,0.65,5,208,3,0
0.97,0.96,3,137,3,1
0.73,0.56,3,147,2,0
0.85,0.78,3,188,3,0
1,0.85,4,216,3,0
0.52,0.67,5,223,3,0
0.49,0.8,3,135,3,0
0.82,0.89,3,203,3,0
0.64,0.94,4,211,3,1
0.7,0.66,3,166,2,0
0.25,0.91,5,274,6,0
0.43,0.4,3,160,4,0
0.49,0.99,4,227,2,0
0.66,0.38,2,244,6,0
0.18,0.38,6,157,5,0
0.42,0.78,5,262,4,0
0.97,0.86,4,143,3,1
0.93,0.97,4,141,3,0
0.81,0.96,4,238,2,0
0.88,0.83,5,182,3,0
0.14,0.68,5,239,4,1
0.15,0.56,6,172,4,0
0.73,0.98,5,264,3,0
0.94,0.67,4,271,2,0
0.82,0.79,2,179,3,0
0.8,0.78,3,238,3,1
0.94,0.89,5,249,2,0
0.53,0.53,5,160,3,0
0.79,0.43,5,275,5,0
0.79,0.88,3,180,2,0
0.8,0.65,5,137,2,0
0.23,0.51,4,243,3,0
0.78,0.65,5,211,2,1
0.62,0.67,4,273,3,0
0.45,0.91,6,97,6,1
0.94,0.9,5,272,2,0
0.67,0.94,3,213,3,0
0.94,0.59,4,143,2,0
0.35,0.67,4,254,6,0
0.19,0.6,6,190,5,0
0.18,0.49,5,178,4,0
0.7,0.92,3,272,2,0
0.49,0.62,3,255,3,1
0.88,0.8,3,223,2,0
0.67,0.69,5,191,2,0
0.79,0.75,4,193,4,0
0.59,0.63,3,137,4,0
0.49,0.77,3,163,5,1
0.97,0.49,4,220,2,0
0.52,0.51,3,124,2,0
0.84,0.7,2,197,3,1
0.9,0.81,4,221,4,0
0.98,0.82,2,153,3,0
0.88,0.71,4,136,4,0
0.9,0.65,3,259,4,0
0.49,0.67,4,237,2,0
0.85,0.88,5,243,3,0
0.62,0.81,3,180,3,0
0.24,0.93,3,193,5,0
0.94,0.68,3,208,3,0
0.8,0.88,4,255,2,1
0.85,0.92,4,271,3,0
0.16,0.99,3,146,4,1
0.65,0.88,2,259,3,0
0.92,0.6,3,175,3,0
0.65,0.76,5,235,2,0
0.62,0.7,3,188,3,0
0.53,0.5,4,154,3,0
0.55,0.98,3,266,2,1
0.92,0.42,4,265,5,0
0.52,0.88,6,219,5,0
0.26,0.6,3,142,5,0
0.2,0.75,3,192,4,0
0.56,0.66,2,157,3,0
0.53,0.8,4,247,2,1
0.34,0.44,3,276,5,0
0.23,0.86,3,161,2,0
0.52,0.51,2,128,4,1
0.99,0.98,5,239,2,0
0.66,0.59,3,175,2,0
0.35,0.74,4,129,3,0
0.8,0.63,3,198,3,0
0.94,0.95,3,145,2,0
0.69,0.52,5,217,4,0
0.83,0.64,3,185,2,0
0.86,0.89,3,189,4,0
0.5,0.94,2,172,2,0
0.92,0.99,5,160,3,1
0.98,0.88,3,147,2,0
0.87,0.51,6,197,5,0
0.79,0.88,3,149,2,0
0.64,0.5,2,102,6,0
0.37,0.43,2,204,3,0
0.7,0.94,4,189,3,0
0.97,0.95,3,176,2,0
0.73,0.95,4,156,3,0
0.97,0.89,3,141,2,0
0.35,0.82,3,192,3,0
0.99,0.81,2,141,2,0
0.56,0.48,4,214,2,0
0.78,0.85,3,158,2,0
0.69,0.95,4,245,4,0
0.95,0.57,3,248,3,1
0.49,0.63,4,154,4,0
0.21,0.58,4,239,4,0
0.72,0.9,4,195,3,0
0.38,0.81,2,114,4,0
0.34,0.53,2,197,2,0
0.91,0.75,5,179,3,0
0.13,0.91,5,247,4,1
0.68,0.36,4,287,2,0
0.15,0.95,3,192,5,1
0.97,0.37,3,277,6,0
0.88,0.98,4,185,6,0
0.58,0.8,3,133,2,0
0.92,0.95,3,182,3,0
0.98,0.67,4,133,2,0
0.19,0.56,5,179,5,0
0.79,0.54,4,155,4,0
0.14,0.69,5,238,5,0
0.81,0.75,3,260,4,0
0.99,0.81,2,263,4,1
0.51,0.62,2,183,3,0
0.61,0.83,4,219,2,1
0.2,0.55,5,167,6,0
0.85,0.9,4,238,3,0
0.98,0.86,5,174,3,0
0.67,0.51,4,194,3,0
0.7,0.97,3,249,3,0
0.6,0.49,3,257,3,0
0.24,0.67,3,237,4,0
0.34,0.44,3,191,3,0
0.69,0.87,5,251,2,1
0.54,0.66,4,193,2,0
0.81,0.65,5,243,2,0
0.93,0.72,4,253,2,0
0.94,0.67,5,140,3,1
0.46,0.4,6,124,2,0
0.7,0.81,3,267,2,0
0.71,0.71,4,240,3,0
0.34,0.93,5,224,6,0
0.26,0.57,2,265,5,0
0.76,0.68,3,149,3,0
0.84,0.48,4,239,2,0
0.13,0.61,4,156,5,0
0.73,0.5,3,260,3,0
0.7,0.87,3,168,3,0
0.81,0.53,2,275,4,0
0.8,0.84,5,241,3,1
0.5,0.64,5,138,2,0
0.82,0.49,5,206,2,0
0.92,0.58,4,263,3,0
0.78,0.77,3,181,2,0
0.38,0.74,3,181,4,0
0.7,0.94,4,136,3,0
0.83,0.72,3,221,3,0
0.67,0.73,4,208,3,0
0.88,0.75,4,167,3,0
0.56,0.53,6,260,4,0
0.79,0.88,3,222,2,0
0.66,0.71,3,245,4,0
0.93,0.49,3,180,3,0
0.54,0.75,2,185,4,1
0.83,0.98,3,136,4,0
0.57,0.83,3,196,3,1
1,0.44,4,164,2,0
0.66,0.88,4,140,3,1
0.83,0.49,4,268,4,0
0.58,0.66,3,243,2,0
0.42,0.64,5,244,4,0
0.59,0.71,3,173,3,0
0.18,0.89,6,206,5,0
0.13,0.68,4,260,5,0
0.77,1,3,160,2,0
0.76,0.68,5,236,2,0
0.42,0.96,4,281,4,0
0.8,0.7,4,175,2,1
0.83,0.89,3,230,3,0
0.9,0.94,3,268,2,0
0.71,0.74,5,160,3,1
0.49,0.95,5,137,3,0
0.54,0.78,4,232,3,0
0.34,0.6,3,125,3,1
0.73,0.48,3,151,3,1
0.8,0.82,4,214,3,0
0.49,0.63,3,248,3,1
0.6,0.82,5,163,2,0
0.61,0.97,5,197,3,0
0.74,0.51,4,216,3,0
0.53,0.67,3,207,3,0
0.94,0.81,4,185,3,0
0.86,0.96,4,237,2,1
0.93,0.97,4,232,2,0
0.76,0.52,3,252,3,0
1,0.95,4,201,3,0
0.62,0.94,5,142,2,0
0.52,1,3,185,2,0
0.5,0.8,4,223,3,0
0.51,0.9,2,149,3,0
0.56,0.89,4,256,3,0
0.61,0.57,5,203,2,0
0.19,0.71,5,148,4,0
0.48,0.86,3,146,2,0
0.63,0.68,2,207,4,1
0.59,0.95,2,225,6,0
0.9,0.75,4,233,4,0
0.74,0.51,4,187,4,0
0.14,0.87,4,273,4,0
0.85,0.92,3,263,4,0
0.69,0.87,3,244,3,0
0.73,0.99,3,206,3,0
0.75,0.88,5,179,2,0
0.88,0.92,4,227,2,1
0.7,0.94,4,229,3,1
0.8,0.59,3,230,3,0
0.77,0.89,3,230,4,0
0.87,0.76,5,264,3,1
0.68,0.51,4,133,3,0
0.98,0.67,4,203,4,0
0.67,0.41,5,280,2,0
0.48,0.85,3,186,3,1
0.82,0.93,4,158,6,0
0.62,0.67,3,119,3,0
0.56,0.88,5,229,2,1
0.78,0.38,6,225,3,0
0.61,0.77,4,183,3,0
0.69,0.9,3,253,2,0
0.99,0.83,6,229,5,0
0.87,0.67,5,184,2,0
0.21,0.89,3,180,5,0
0.83,0.88,4,162,3,0
0.23,0.68,4,256,5,1
0.88,0.94,5,167,2,0
0.83,0.7,4,138,2,0
0.85,0.61,5,178,3,0
0.73,0.6,3,141,3,0
0.22,0.44,5,111,5,0
0.9,0.64,4,216,4,0
0.96,0.82,3,140,3,0
0.55,0.62,5,222,2,0
0.88,0.91,4,178,3,1
0.64,0.76,3,214,3,1
0.54,0.44,6,171,3,0
0.56,0.9,3,163,2,1
0.62,0.88,5,162,3,0
0.71,0.81,5,266,4,0
0.78,0.98,3,135,3,0
0.91,0.85,3,218,4,0
0.61,0.71,4,274,2,0
0.5,0.82,5,127,3,1
0.88,0.68,5,273,3,0
0.77,0.71,3,146,3,1
0.53,0.68,4,226,4,0
0.15,0.79,3,184,5,1
0.22,0.94,3,251,6,0
0.79,0.61,3,223,3,1
0.56,0.78,4,267,2,1
0.8,0.96,3,270,3,1
0.55,0.87,3,246,2,1
0.15,0.38,5,156,6,0
0.55,0.69,4,247,3,0
0.57,0.67,3,140,4,1
0.53,0.52,3,262,3,1
0.51,0.47,4,188,2,0
0.23,0.52,5,160,5,0
0.88,0.52,4,191,2,0
0.7,0.81,3,164,3,0
0.79,0.52,5,172,2,0
0.49,0.57,4,263,3,0
0.79,0.78,4,99,4,1
0.81,0.5,3,236,4,0
0.9,0.87,4,139,5,0
0.59,0.41,4,237,2,0
0.72,0.88,5,211,2,1
0.74,0.82,4,287,5,0
0.91,0.67,4,208,2,0
0.68,0.87,4,257,3,1
0.83,0.88,5,196,4,0
0.61,0.8,3,227,3,0
0.17,0.88,6,138,4,1
0.71,0.63,4,249,2,0
0.73,0.81,4,236,4,0
0.49,0.96,3,180,2,1
0.81,0.74,3,230,2,0
0.82,0.5,5,173,2,0
0.96,0.91,4,208,3,0
0.78,0.77,3,156,3,0
0.84,0.6,5,230,3,1
0.77,0.58,4,197,4,1
0.51,0.7,2,112,2,1
0.81,0.55,4,160,4,0
0.59,0.54,3,185,2,0
0.77,0.92,4,234,3,1
0.36,0.41,3,159,3,0
0.75,0.94,5,181,2,0
0.77,0.62,5,202,2,0
0.63,0.66,3,192,2,0
0.51,0.76,3,243,2,0
0.79,0.62,5,201,4,0
0.71,0.85,4,221,3,0
0.51,0.53,4,132,4,0
0.62,0.96,4,236,2,0
0.7,0.67,5,215,3,0
0.72,0.98,5,148,2,0
0.37,0.65,4,164,2,0
0.93,0.58,3,150,4,0
0.54,0.47,5,144,6,0
0.57,0.6,3,187,3,0
0.95,0.73,4,253,3,0
0.67,0.53,3,181,3,0
0.75,0.76,4,242,3,0
0.48,0.98,4,106,3,0
0.48,0.69,3,161,2,0
0.63,0.5,4,250,3,0
0.99,0.64,5,265,3,1
0.2,0.71,5,108,6,0
0.53,0.92,3,246,2,0
1,0.93,3,136,3,0
0.56,0.91,5,244,2,0
0.57,0.62,4,171,3,0
0.56,0.67,3,192,2,0
0.65,0.7,3,209,3,1
0.89,0.5,5,211,5,0
0.71,0.84,4,266,4,0
0.76,0.72,3,250,2,0
0.77,0.49,4,261,4,0
0.97,0.85,4,142,2,0
